Time,Value
2017-06-04 00:15:00,2.053
2017-06-04 00:30:00,1.8248
2017-06-04 00:45:00,1.8248
2017-06-04 01:00:00,1.5967
2017-06-04 01:15:00,1.4827
2017-06-04 01:30:00,1.7108
2017-06-04 01:45:00,1.4827
2017-06-04 02:00:00,1.4827
2017-06-04 02:15:00,1.5967
2017-06-04 02:30:00,1.4827
2017-06-04 02:45:00,1.5967
2017-06-04 03:00:00,1.4827
2017-06-04 03:15:00,1.5967
2017-06-04 03:30:00,1.4827
2017-06-04 03:45:00,1.4827
2017-06-04 04:00:00,1.7108
2017-06-04 04:15:00,1.7108
2017-06-04 04:30:00,1.9389
2017-06-04 04:45:00,3.7637
2017-06-04 05:00:00,10.1507
2017-06-04 05:15:00,12.888
2017-06-04 05:30:00,18.2485
2017-06-04 05:45:00,25.0916
2017-06-04 06:00:00,31.7067
2017-06-04 06:15:00,37.9796
2017-06-04 06:30:00,42.6558
2017-06-04 06:45:00,37.2953
2017-06-04 07:00:00,38.4358
2017-06-04 07:15:00,38.6639
2017-06-04 07:30:00,36.9531
2017-06-04 07:45:00,45.6212
2017-06-04 08:00:00,54.0611
2017-06-04 08:15:00,56.3421
2017-06-04 08:30:00,58.8513
2017-06-04 08:45:00,54.1751
2017-06-04 09:00:00,52.1222
2017-06-04 09:15:00,54.5173
2017-06-04 09:30:00,52.1222
2017-06-04 09:45:00,49.613
2017-06-04 10:00:00,53.3768
2017-06-04 10:15:00,62.7291
2017-06-04 10:30:00,71.6252
2017-06-04 10:45:00,68.2036
2017-06-04 11:00:00,66.6069
2017-06-04 11:15:00,77.4419
2017-06-04 11:30:00,63.1853
2017-06-04 11:45:00,59.8778
2017-06-04 12:00:00,53.4908
2017-06-04 12:15:00,42.0855
2017-06-04 12:30:00,40.7169
2017-06-04 12:45:00,40.7169
2017-06-04 13:00:00,35.5845
2017-06-04 13:15:00,36.2688
2017-06-04 13:30:00,29.4257
2017-06-04 13:45:00,47.5601
2017-06-04 14:00:00,51.666000000000004
2017-06-04 14:15:00,51.2098
2017-06-04 14:30:00,59.0794
2017-06-04 14:45:00,52.1222
2017-06-04 15:00:00,42.1996
2017-06-04 15:15:00,48.1303
2017-06-04 15:30:00,42.7698
2017-06-04 15:45:00,42.1996
2017-06-04 16:00:00,47.2179
2017-06-04 16:15:00,45.165
2017-06-04 16:30:00,41.7434
2017-06-04 16:45:00,46.0774
2017-06-04 17:00:00,46.5336
2017-06-04 17:15:00,34.1018
2017-06-04 17:30:00,28.5132
2017-06-04 17:45:00,19.8452
2017-06-04 18:00:00,13.3442
2017-06-04 18:15:00,7.1853
2017-06-04 18:30:00,6.8432
2017-06-04 18:45:00,5.9308
2017-06-04 19:00:00,5.9308
2017-06-04 19:15:00,4.7902
2017-06-04 19:30:00,4.1059
2017-06-04 19:45:00,2.7373
2017-06-04 20:00:00,2.7373
2017-06-04 20:15:00,2.2811
2017-06-04 20:30:00,1.9389
2017-06-04 20:45:00,2.167
2017-06-04 21:00:00,2.5092
2017-06-04 21:15:00,2.9654
2017-06-04 21:30:00,2.3951
2017-06-04 21:45:00,2.167
2017-06-04 22:00:00,2.167
2017-06-04 22:15:00,2.167
2017-06-04 22:30:00,2.2811
2017-06-04 22:45:00,2.053
2017-06-04 23:00:00,2.2811
2017-06-04 23:15:00,2.6232
2017-06-04 23:30:00,2.167
2017-06-04 23:45:00,1.8248
2017-06-05 00:00:00,1.7108
2017-06-05 00:15:00,1.9389
2017-06-05 00:30:00,2.167
2017-06-05 00:45:00,2.053
2017-06-05 01:00:00,2.167
2017-06-05 01:15:00,2.053
2017-06-05 01:30:00,2.167
2017-06-05 01:45:00,2.167
2017-06-05 02:00:00,2.053
2017-06-05 02:15:00,2.167
2017-06-05 02:30:00,2.053
2017-06-05 02:45:00,2.2811
2017-06-05 03:00:00,2.053
2017-06-05 03:15:00,2.053
2017-06-05 03:30:00,2.167
2017-06-05 03:45:00,1.9389
2017-06-05 04:00:00,2.167
2017-06-05 04:15:00,1.9389
2017-06-05 04:30:00,2.167
2017-06-05 04:45:00,3.0794
2017-06-05 05:00:00,6.9572
2017-06-05 05:15:00,10.0367
2017-06-05 05:30:00,13.4582
2017-06-05 05:45:00,16.4236
