Time,Value
2017-11-28 16:45:00,154.1843
2017-11-28 17:00:00,158.067
2017-11-28 17:15:00,158.9866
2017-11-28 17:30:00,159.4464
2017-11-28 17:45:00,134.5153
2017-11-28 18:00:00,156.94299999999998
2017-11-28 18:15:00,161.0301
2017-11-28 18:30:00,161.7453
2017-11-28 18:45:00,161.5921
2017-11-28 19:00:00,153.9288
2017-11-28 19:15:00,156.5854
2017-11-28 19:30:00,158.1692
2017-11-28 19:45:00,153.469
2017-11-28 20:00:00,152.6005
2017-11-28 20:15:00,151.4766
2017-11-28 20:30:00,141.3611
2017-11-28 20:45:00,134.8729
2017-11-28 21:00:00,136.9675
2017-11-28 21:15:00,138.398
2017-11-28 21:30:00,142.3318
2017-11-28 21:45:00,142.9449
2017-11-28 22:00:00,144.733
2017-11-28 22:15:00,145.5504
2017-11-28 22:30:00,145.346
2017-11-28 22:45:00,147.5939
2017-11-28 23:00:00,128.2825
2017-11-28 23:15:00,126.801
2017-11-28 23:30:00,139.3687
2017-11-28 23:45:00,139.6241
2017-11-29 00:00:00,142.5362
2017-11-29 00:15:00,143.2003
2017-11-29 00:30:00,138.7556
2017-11-29 00:45:00,138.7045
2017-11-29 01:00:00,140.1861
2017-11-29 01:15:00,138.8578
2017-11-29 01:30:00,135.5882
2017-11-29 01:45:00,135.0262
2017-11-29 02:00:00,136.2523
2017-11-29 02:15:00,141.7187
2017-11-29 02:30:00,142.434
2017-11-29 02:45:00,142.2296
2017-11-29 03:00:00,140.9013
2017-11-29 03:15:00,141.7187
2017-11-29 03:30:00,125.626
2017-11-29 03:45:00,128.7423
2017-11-29 04:00:00,134.311
2017-11-29 04:15:00,136.099
2017-11-29 04:30:00,139.7774
2017-11-29 04:45:00,139.3176
2017-11-29 05:00:00,140.7992
2017-11-29 05:15:00,140.9013
2017-11-29 05:30:00,141.0546
2017-11-29 05:45:00,141.31
2017-11-29 06:00:00,137.6317
2017-11-29 06:15:00,141.5655
2017-11-29 06:30:00,142.5362
2017-11-29 06:45:00,143.3025
2017-11-29 07:00:00,142.5362
2017-11-29 07:15:00,124.6553
2017-11-29 07:30:00,139.1132
2017-11-29 07:45:00,140.7992
2017-11-29 08:00:00,140.2372
2017-11-29 08:15:00,125.3705
2017-11-29 08:30:00,93.9002
2017-11-29 08:45:00,95.3306
2017-11-29 09:00:00,103.096
2017-11-29 09:15:00,133.5957
2017-11-29 09:30:00,128.9467
2017-11-29 09:45:00,133.6979
2017-11-29 10:00:00,132.625
2017-11-29 10:15:00,135.6903
2017-11-29 10:30:00,138.3469
2017-11-29 10:45:00,137.22299999999998
2017-11-29 11:00:00,137.0186
2017-11-29 11:15:00,135.2816
2017-11-29 11:30:00,137.4273
2017-11-29 11:45:00,134.7707
2017-11-29 12:00:00,135.1795
2017-11-29 12:15:00,135.2305
2017-11-29 12:30:00,128.7934
2017-11-29 12:45:00,125.9325
2017-11-29 13:00:00,125.8303
2017-11-29 13:15:00,126.5966
2017-11-29 13:30:00,129.9685
2017-11-29 13:45:00,131.8076
2017-11-29 14:00:00,120.5682
2017-11-29 14:15:00,101.359
2017-11-29 14:30:00,118.5758
2017-11-29 14:45:00,126.4434
2017-11-29 15:00:00,132.0631
2017-11-29 15:15:00,132.7783
2017-11-29 15:30:00,134.362
2017-11-29 15:45:00,133.5446
2017-11-29 16:00:00,130.3772
2017-11-29 16:15:00,127.8227
2017-11-29 16:30:00,132.1652
2017-11-29 16:45:00,134.6686
2017-11-29 17:00:00,135.5371
2017-11-29 17:15:00,136.3034
2017-11-29 17:30:00,139.2665
2017-11-29 17:45:00,101.4612
2017-11-29 18:00:00,127.2608
2017-11-29 18:15:00,137.0697
2017-11-29 18:30:00,136.7121
2017-11-29 18:45:00,133.3403
2017-11-29 19:00:00,133.4425
2017-11-29 19:15:00,132.7272
2017-11-29 19:30:00,134.362
2017-11-29 19:45:00,135.5371
2017-11-29 20:00:00,134.8218
2017-11-29 20:15:00,130.1728
2017-11-29 20:30:00,128.3336
2017-11-29 20:45:00,132.7272
2017-11-29 21:00:00,136.7632
2017-11-29 21:15:00,141.6677
2017-11-29 21:30:00,137.9382
2017-11-29 21:45:00,140.697
2017-11-29 22:00:00,146.3167
2017-11-29 22:15:00,142.2807
2017-11-29 22:30:00,148.4113
2017-11-29 22:45:00,142.8427
2017-11-29 23:00:00,145.908
2017-11-29 23:15:00,134.0555
2017-11-29 23:30:00,131.6544
2017-11-29 23:45:00,138.4491
2017-11-30 00:00:00,137.9893
2017-11-30 00:15:00,135.1795
2017-11-30 00:30:00,135.5371
2017-11-30 00:45:00,132.6761
2017-11-30 01:00:00,128.0271
2017-11-30 01:15:00,129.5597
2017-11-30 01:30:00,137.1208
2017-11-30 01:45:00,145.7036
2017-11-30 02:00:00,149.5863
2017-11-30 02:15:00,142.5362
2017-11-30 02:30:00,138.0404
2017-11-30 02:45:00,139.6752
2017-11-30 03:00:00,141.5655
2017-11-30 03:15:00,147.1852
2017-11-30 03:30:00,147.3895
2017-11-30 03:45:00,144.5286
2017-11-30 04:00:00,143.4557
2017-11-30 04:15:00,145.6015
2017-11-30 04:30:00,142.6383
2017-11-30 04:45:00,109.7375
2017-11-30 05:00:00,122.4074
2017-11-30 05:15:00,146.7254
2017-11-30 05:30:00,148.3602
2017-11-30 05:45:00,148.0026
2017-11-30 06:00:00,143.4047
2017-11-30 06:15:00,135.5371
2017-11-30 06:30:00,136.4567
2017-11-30 06:45:00,142.0253
2017-11-30 07:00:00,145.4482
2017-11-30 07:15:00,141.4633
2017-11-30 07:30:00,136.3034
2017-11-30 07:45:00,133.0337
2017-11-30 08:00:00,130.5815
2017-11-30 08:15:00,128.3336
2017-11-30 08:30:00,131.1435
2017-11-30 08:45:00,133.8512
2017-11-30 09:00:00,135.6903
2017-11-30 09:15:00,138.96
2017-11-30 09:30:00,139.8285
2017-11-30 09:45:00,107.7962
2017-11-30 10:00:00,115.3572
2017-11-30 10:15:00,138.3469
2017-11-30 10:30:00,141.2079
2017-11-30 10:45:00,137.6317
2017-11-30 11:00:00,140.4415
2017-11-30 11:15:00,139.8796
2017-11-30 11:30:00,140.7481
2017-11-30 11:45:00,139.8796
2017-11-30 12:00:00,140.1861
2017-11-30 12:15:00,143.5068
2017-11-30 12:30:00,141.2079
2017-11-30 12:45:00,137.5806
2017-11-30 13:00:00,139.1643
2017-11-30 13:15:00,140.697
2017-11-30 13:30:00,136.5077
2017-11-30 13:45:00,134.8729
2017-11-30 14:00:00,135.7925
2017-11-30 14:15:00,133.8512
2017-11-30 14:30:00,134.2599
2017-11-30 14:45:00,131.3989
2017-11-30 15:00:00,125.2683
2017-11-30 15:15:00,126.1879
2017-11-30 15:30:00,100.5927
2017-11-30 15:45:00,135.3327
2017-11-30 16:00:00,140.2883
2017-11-30 16:15:00,144.0177
2017-11-30 16:30:00,141.4633
2017-11-30 16:45:00,143.3025
2017-11-30 17:00:00,143.4047
2017-11-30 17:15:00,143.1492
2017-11-30 17:30:00,140.697
2017-11-30 17:45:00,140.5948
2017-11-30 18:00:00,140.3394
2017-11-30 18:15:00,141.5655
2017-11-30 18:30:00,138.6535
2017-11-30 18:45:00,141.0035
2017-11-30 19:00:00,141.5144
2017-11-30 19:15:00,141.4633
2017-11-30 19:30:00,141.3611
2017-11-30 19:45:00,134.311
2017-11-30 20:00:00,130.7859
2017-11-30 20:15:00,131.1435
2017-11-30 20:30:00,134.0044
2017-11-30 20:45:00,138.5002
2017-11-30 21:00:00,146.2656
2017-11-30 21:15:00,146.7765
2017-11-30 21:30:00,147.3385
2017-11-30 21:45:00,147.4406
2017-11-30 22:00:00,143.6601
2017-11-30 22:15:00,145.0906
2017-11-30 22:30:00,148.1048
2017-11-30 22:45:00,149.2798
2017-11-30 23:00:00,150.4548
2017-11-30 23:15:00,126.4945
2017-11-30 23:30:00,139.0622
2017-11-30 23:45:00,148.6667
2017-12-01 00:00:00,149.0755
2017-12-01 00:15:00,148.5135
2017-12-01 00:30:00,148.7689
2017-12-01 00:45:00,147.6961
2017-12-01 01:00:00,148.3602
2017-12-01 01:15:00,143.6601
2017-12-01 01:30:00,137.0186
2017-12-01 01:45:00,137.5295
2017-12-01 02:00:00,138.0915
2017-12-01 02:15:00,135.3327
2017-12-01 02:30:00,138.0404
2017-12-01 02:45:00,142.8427
2017-12-01 03:00:00,143.047
2017-12-01 03:15:00,146.4189
2017-12-01 03:30:00,148.207
2017-12-01 03:45:00,146.5721
2017-12-01 04:00:00,141.5144
2017-12-01 04:15:00,141.7187
2017-12-01 04:30:00,147.7472
2017-12-01 04:45:00,147.4406
2017-12-01 05:00:00,137.6317
