Time,Value
2018-03-02 16:15:00,0.0117
2018-03-02 16:30:00,0.0083
2018-03-02 16:45:00,0.0192
2018-03-02 17:00:00,0.0175
2018-03-02 17:15:00,0.0092
2018-03-02 17:30:00,0.0108
2018-03-02 17:45:00,0.01
2018-03-02 18:00:00,0.01
2018-03-02 18:15:00,0.0092
2018-03-02 18:30:00,0.0158
2018-03-02 18:45:00,0.0225
2018-03-02 19:00:00,0.0183
2018-03-02 19:15:00,0.0167
2018-03-02 19:30:00,0.0183
2018-03-02 19:45:00,0.0142
2018-03-02 20:00:00,0.0158
2018-03-02 20:15:00,0.0175
2018-03-02 20:30:00,0.0133
2018-03-02 20:45:00,0.0167
2018-03-02 21:00:00,0.01
2018-03-02 21:15:00,0.0158
2018-03-02 21:30:00,0.0125
2018-03-02 21:45:00,0.0083
2018-03-02 22:00:00,0.0075
2018-03-02 22:15:00,0.0075
2018-03-02 22:30:00,0.0075
2018-03-02 22:45:00,0.0125
2018-03-02 23:00:00,0.0067
2018-03-02 23:15:00,0.0067
2018-03-02 23:30:00,0.01
2018-03-02 23:45:00,0.0117
2018-03-03 00:00:00,0.0067
2018-03-03 00:15:00,0.0067
2018-03-03 00:30:00,0.0075
2018-03-03 00:45:00,0.0075
2018-03-03 01:00:00,0.0067
2018-03-03 01:15:00,0.005
2018-03-03 01:30:00,0.0058
2018-03-03 01:45:00,0.0058
2018-03-03 02:00:00,0.0067
2018-03-03 02:15:00,0.005
2018-03-03 02:30:00,0.0058
2018-03-03 02:45:00,0.005
2018-03-03 03:00:00,0.0058
2018-03-03 03:15:00,0.0058
2018-03-03 03:30:00,0.0058
2018-03-03 03:45:00,0.005
2018-03-03 04:00:00,0.0067
2018-03-03 04:15:00,0.005
2018-03-03 04:30:00,0.005
2018-03-03 04:45:00,0.005
2018-03-03 05:00:00,0.0042
2018-03-03 05:15:00,0.005
2018-03-03 05:30:00,0.005
2018-03-03 05:45:00,0.005
2018-03-03 06:00:00,0.0058
2018-03-03 06:15:00,0.0058
2018-03-03 06:30:00,0.005
2018-03-03 06:45:00,0.0058
2018-03-03 07:00:00,0.0058
2018-03-03 07:15:00,0.0092
2018-03-03 07:30:00,0.01
2018-03-03 07:45:00,0.0083
2018-03-03 08:00:00,0.0083
2018-03-03 08:15:00,0.0083
2018-03-03 08:30:00,0.0067
2018-03-03 08:45:00,0.0092
2018-03-03 09:00:00,0.0242
2018-03-03 09:15:00,0.01
2018-03-03 09:30:00,0.0067
2018-03-03 09:45:00,0.0075
2018-03-03 10:00:00,0.0092
2018-03-03 10:15:00,0.0058
2018-03-03 10:30:00,0.0117
2018-03-03 10:45:00,0.0083
2018-03-03 11:00:00,0.0067
2018-03-03 11:15:00,0.015
2018-03-03 11:30:00,0.015
2018-03-03 11:45:00,0.0208
2018-03-03 12:00:00,0.025
2018-03-03 12:15:00,0.02
2018-03-03 12:30:00,0.0208
2018-03-03 12:45:00,0.0158
2018-03-03 13:00:00,0.0117
2018-03-03 13:15:00,0.0158
2018-03-03 13:30:00,0.0125
2018-03-03 13:45:00,0.0158
2018-03-03 14:00:00,0.0142
2018-03-03 14:15:00,0.01
2018-03-03 14:30:00,0.01
2018-03-03 14:45:00,0.01
2018-03-03 15:00:00,0.01
2018-03-03 15:15:00,0.0083
2018-03-03 15:30:00,0.0083
2018-03-03 15:45:00,0.0083
2018-03-03 16:00:00,0.0083
2018-03-03 16:15:00,0.0092
2018-03-03 16:30:00,0.0108
2018-03-03 16:45:00,0.0108
2018-03-03 17:00:00,0.0117
2018-03-03 17:15:00,0.0217
2018-03-03 17:30:00,0.0108
2018-03-03 17:45:00,0.0117
2018-03-03 18:00:00,0.0233
2018-03-03 18:15:00,0.0233
2018-03-03 18:30:00,0.03
2018-03-03 18:45:00,0.0325
2018-03-03 19:00:00,0.0233
2018-03-03 19:15:00,0.0225
2018-03-03 19:30:00,0.02
2018-03-03 19:45:00,0.0167
2018-03-03 20:00:00,0.0183
2018-03-03 20:15:00,0.0167
2018-03-03 20:30:00,0.0192
2018-03-03 20:45:00,0.0225
2018-03-03 21:00:00,0.0208
2018-03-03 21:15:00,0.0225
2018-03-03 21:30:00,0.0142
2018-03-03 21:45:00,0.0133
2018-03-03 22:00:00,0.01
2018-03-03 22:15:00,0.015
2018-03-03 22:30:00,0.0083
2018-03-03 22:45:00,0.015
2018-03-03 23:00:00,0.015
2018-03-03 23:15:00,0.0133
2018-03-03 23:30:00,0.0158
2018-03-03 23:45:00,0.0133
2018-03-04 00:00:00,0.0183
2018-03-04 00:15:00,0.015
2018-03-04 00:30:00,0.0075
2018-03-04 00:45:00,0.0058
2018-03-04 01:00:00,0.0075
2018-03-04 01:15:00,0.0083
2018-03-04 01:30:00,0.01
2018-03-04 01:45:00,0.01
